"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
1,"a","Rz_R",21,2,375," 21 (a) "
2,"b","Rz_L",226,2,143,"226 (b)"
3,"c","S",17,2,456,"17 (c)"
4,"d","206",13,2,501,"13 (d-E21R)+1.pres.p.58+79 + 80 + 299+300+301 + 302 + 305 + 439 +449"
5,"e","208",9,0,457,"9 (e)"
6,"f","203","","","",""
7,"g","202",7,2,328,"7(g)-317 pres.part."
8,"h","201",5,2,351,"5 (h) 391 pp.13 "
9,"i","E21",16,0,"",""
10,"j","207",38,2,459,"38 (j)"
11,"k","205",33,2,387,"33 (k) (uncertain partner) - 1.pres.p.17"
12,"l","211","","","",""
13,"m","215_R","","","",""
14,"n","221",345,2,469,"345 (n)"
15,"o","CV_L",234,2,454,"234"
16,"p","CV_R",334,2,83,"334 (p)"
17,"q","66_R","","","",""
18,"r","N2_R",311,0,"",""
19,"s","AP_R",322,2,"",""
20,"t","158_R","","","",""
21,"u","T1_R",280,2,320,"280 (u)"
22,"v","155_R",281,0,"",""
23,"w","156_R","","","",""
24,"x","153_R",277,0,475,"277 (x)+1.pres.p.55"
25,"y","154_R",284,0,32,"284 (y) + 1.pres.p.160 +268"
26,"z","151_R",385,0,7,"385 (z) + 1.pres.p.469+470"
27,"aa","152_R","","","",""
28,"ab","HE_R",384,0,8,"384 (ab)"
29,"ac","222",235,0,154,"235 (ac)"
30,"ad","218",194,2,468,"194 (ad)"
31,"ae","216_R","","","",""
32,"af","215_L",193,1,"",""
33,"ag","217","","","",""
34,"ah","212","","","",""
35,"ai","216_L",232,2,594,"232(ai)+1.pres.p.397+398"
36,"aj","213","","","",""
37,"ak","","","","",""
38,"al","210","","","",""
39,"am","209","","","",""
40,"an","62_L",236,2,148,"236 (an)"
41,"ao","61_L",343,2,"",""
42,"ap","168_L",336,2,"",""
43,"aq","N2_L",155,2,1,"155 (aq)"
44,"ar","164_L",337,2,93,"337 (ar)"
45,"as","T1_L",245,2,127,"245 (as) "
46,"at","65_L",341,2,134,"341 (at)"
47,"au","AP_L",168,2,112,"168 (au)"
48,"av","166_L",154,2,"",""
49,"aw","153_L",163,2,"",""
50,"ax","170_L",331,2,"",""
51,"ay","229","","","",""
52,"az","227",330,2,455,"330 (az)"
53,"ba","231","","","",""
54,"bb","HE_L",332,2,512,"332 (bb) (uncertain partner)+1.pres.p.40+85+86 +159 +230 +476"
55,"bc","151_L",174,2,9,"174 (bc) (uncertain partner) + pres.p.1.170+171 + 172 +173+174+175 +176+177"
56,"bd","",37,2,390,"37 (d) "
57,"be","157_L",171,2,41,"171 (be)"
58,"bf","162_L",244,2,126,"244 (bf)"
59,"bg","N1_L",340,2,318,"340"
60,"bh","158_L",159,2,"",""
61,"bi","161_L",140,2,"",""
62,"bj","T3_L",339,2,"",""
63,"bk","156_L",156,2,37,"156 (bk-156L) + 1.pres.p.178 +179"
64,"bl","154_L","","","",""
65,"bm","",177,2,10,"177 (bm)"
66,"bn","152_L",169,2,43,"169 (bn)"
67,"bo","Ley_L",350,2,"",""
68,"bp","51_L",252,2,"",""
69,"bq","58_L","","","",""
70,"br","54_L","","","",""
71,"bs","57_L",247,2,"",""
72,"bt","56_L",256,2,181,"256 (bt)"
73,"bu","55_L","","","",""
74,"bv","52_L",196,2,191,"196 (bv)"
75,"bw","60_L",348,2,"",""
76,"bx","AE_R",361,2,"",""
77,"by","AE_L",370,2,"",""
78,"bz","251_L",27,2,294,"27 (bz)"
79,"ca","252_R",367,2,"",""
80,"cb","256_R",23,2,"",""
81,"cc","258_R",14,2,287,"14 (cc)"
82,"cd","253_R",22,0,"",""
83,"ce","251_R",362,2,291,"362 (ce)"
84,"cf","256_L",26,2,567,"26 +1.pres.p.271"
85,"cg","252_L",363,2,195,"363 (cg)"
86,"ch","260_L",30,2,194,"30 (ch)"
87,"ci","263_L",231,2,276,"231 (ci)"
88,"cj","264_L",29,2,"",""
89,"ck","259_L",229,2,184,"229 (ck)"
90,"cl","261_L",11,2,174,"11 (cl)"
91,"cm","261_R","","","",""
92,"cn","262_R",8,2,280,"8 (cn)"
93,"co","264_R",365,2,279,"365 (co)"
94,"cp","263_R",366,2,189,"366 (cp)"
95,"cq","260_R","","","",""
96,"cr","51_R","","","",""
97,"cs","52_R",300,2,304,"300 (cs)"
98,"ct","57_R","","","",""
99,"cu","56_R",302,2,"",""
